ma_khach_hang,ma_san_pham,so_sao
443,308500015,5
1030,308500015,5
689,422216594,5
2519,204100075,5
402,422208977,5
3014,345800013,5
2517,204100019,5
1750,100220035,5
3394,204100024,5
1817,422216354,4
3556,100250032,5
2375,422205163,5
2027,249500019,5
2928,422209718,5
3059,413400001,2
1118,422204884,5
2273,422208183,4
736,100230056,5
731,100230056,5
4234,422205637,4
2696,422203776,5
1806,422216098,5
1281,204900005,5
3417,351700026,5
1268,204900056,5
1360,422208328,5
2255,357100011,5
2450,308500037,5
2647,422203300,2
3508,386000044,5
2484,422204388,5
4003,422205673,5
3626,343100024,5
3176,345800001,5
2405,308500018,5
681,204100019,5
319,422204167,4
2416,308500013,5
132,422212331,5
2723,248700035,3
2450,308500015,5
575,253900006,5
2887,422202580,5
677,200400004,5
2085,207500001,5
2344,308500004,5
2893,422202580,5
182,422204259,4
3810,422209048,5
1637,100160022,5
706,100230064,5
414,422208976,5
322,422211446,5
441,249500027,4
1469,204900056,4
380,422208976,5
2019,249500019,5
777,100230057,5
787,100230057,5
2528,343700002,3
201,422204259,4
378,422208974,4
223,205100136,5
1467,204900004,5
1487,204900004,5
324,245500009,5
142,422206648,5
2553,204100018,5
1245,422212331,5
2336,422205163,5
3362,201600019,5
2434,422205164,5
2523,200500293,5
1282,422216603,5
742,200400003,4
1370,318900002,3
384,422212097,5
1061,422204910,5
3533,422202629,4
469,204900013,5
1944,422209262,5
306,205100146,4
421,422208975,5
270,327500002,5
2382,308500015,5
1490,204900056,5
2498,422206537,5
1972,100150059,5
1348,422207414,5
1339,422210980,2
801,100230064,5
679,422205164,5
138,422205809,5
1394,422200305,3
350,422203301,5
715,200400004,5
1734,100220037,5
3854,100210020,1
2241,206400009,5
689,204100019,5
140,204100078,5
415,422208974,5
35,100230059,5
4319,223600032,4
403,422208972,5
616,253900006,4
1162,422217292,4
2438,422205162,5
2466,422205160,5
236,422204259,5
3338,223600010,4
1453,204900159,3
2427,422202253,5
341,422211446,5
1328,422211878,5
56,318900012,5
2456,308500013,5
966,357100004,5
2986,422200342,5
1711,100220035,5
2749,331300002,5
676,226200018,3
1495,204900159,5
235,422206648,5
2753,422211276,5
704,100230057,5
2140,422209841,4
404,200400003,4
2796,100180113,5
253,205100146,4
691,204100054,5
701,100230064,5
1220,422217292,5
2195,249500028,4
4038,365000013,5
2308,422205164,5
2385,204100019,3
2327,204100019,5
145,422211446,5
2891,358300002,5
35,318900011,5
3972,331300002,5
162,248700035,3
1144,422218629,5
672,308500004,5
171,422206648,4
2665,243300007,1
269,422203807,5
3317,308500037,1
562,204900013,5
745,200400004,5
3342,308100018,5
3684,226200017,5
205,422211446,5
680,308500013,5
256,200400004,5
1074,422201504,5
1292,204900056,5
2431,308500004,5
2105,422211501,5
3737,377400001,5
2453,308500018,5
1428,422217029,5
695,308500009,5
3116,223600035,5
1492,100230069,5
3015,100150066,5
792,355500010,3
1895,422205163,5
788,100230064,5
3873,422208242,5
2459,308500009,5
157,422211446,5
2418,343100028,5
243,422208807,5
1083,422204906,5
2143,310100003,5
858,214000001,5
409,100230057,5
1513,422211548,5
273,422208807,5
4390,100750038,5
2416,308500015,5
3024,343700002,5
1670,318900019,5
545,365000014,4
409,200400004,5
2305,100150058,4
712,308500015,5
1149,422218631,5
262,357100011,4
135,422217972,5
2052,422207413,1
815,422216594,5
441,204900013,5
1114,223600040,3
2659,422203809,5
2596,100230069,5
761,204100003,5
16,205100136,5
1492,204900159,4
2214,206200079,5
3704,422216487,5
2638,422203301,5
2260,245500001,5
2372,422205163,5
2953,200500283,5
409,100230059,5
246,422211446,5
2288,223600017,5
3007,253900007,5
703,422205163,5
2319,308500009,5
350,205100137,5
709,100230056,5
189,422203617,5
2426,422205164,5
1734,422206042,5
2927,422207148,5
1478,204900004,5
815,100230064,5
749,200400003,5
4298,422205635,5
1157,422212871,5
2460,422205162,5
2221,211300005,5
581,253900006,5
1594,327500002,4
1665,318900005,5
3111,204100013,5
695,200400004,5
2285,100150059,5
684,100230057,5
3876,248700076,5
4114,422207812,5
1176,249500013,3
1051,248700035,5
722,100230056,5
336,205100146,5
2662,243300007,1
3463,343100024,5
368,422206648,5
257,422200306,5
1188,249500013,5
4233,345800008,5
429,422216416,5
286,205100146,5
158,205100146,5
1402,422220469,4
2349,422205160,5
1387,422209663,5
3666,422206043,5
1219,249500013,5
3323,223600034,5
3146,357100011,5
2289,308500015,5
1631,422209094,5
2094,308500037,5
1824,204900010,5
2195,249500021,4
788,211300002,5
316,205100137,5
3324,223600010,5
799,100230064,5
4154,422205162,2
2795,365000020,5
2377,422205162,5
235,422211446,5
336,422211489,5
2514,248700062,5
1633,245500002,5
396,422218099,5
1296,422211878,5
2397,308500009,5
809,200400004,5
333,422211447,5
1474,204900056,5
2221,422205160,5
3218,223600034,5
229,205100146,4
2453,308500004,5
847,249500007,5
2410,422205163,5
220,217300001,3
2610,371600006,5
745,422216594,5
297,100230069,5
336,422204259,5
147,205100136,5
1906,100210023,5
2653,422203807,5
1502,422211548,5
128,422208345,4
3710,422200002,5
2655,422207562,2
2240,206400011,5
4304,343100041,5
1982,422210146,5
1641,422209718,5
2163,211300002,5
2664,422203809,1
4016,422202153,5
272,422211446,5
4328,248700027,5
1166,422217292,5
824,422221873,4
1411,422200632,5
4420,248700034,3
1643,100160022,5
1201,249500007,5
3046,422203645,5
2448,308500004,4
2905,204100003,3
632,207500001,5
3567,422205164,3
3503,365000017,2
3866,327500002,2
1487,204900128,5
3426,422206513,2
1479,204900056,5
2399,308500037,5
723,422214146,3
2645,422203301,5
229,422208807,4
1170,249500013,4
546,204900013,1
632,100230069,5
235,205100146,5
704,200400004,5
1765,318900002,5
1474,422204231,5
1445,422210784,5
3578,422201092,5
331,422206648,5
855,422204795,5
35,100230056,5
1239,422203901,4
80,318900012,4
2461,100220010,5
674,422216594,5
2561,308900002,5
2750,248700035,5
3082,422204281,5
869,204900159,5
1949,422209724,5
1216,422215804,5
2336,422205160,5
182,422208807,4
1727,100210014,5
2541,422206537,5
2533,204100019,5
3091,232500022,5
1902,100210023,5
2382,422205160,5
2271,422208157,3
798,100230056,5
3488,222600006,5
2858,422217292,1
3337,223600009,5
1064,422211183,5
2171,422206043,4
365,422204259,4
1080,422220606,5
495,204900013,4
262,422203510,4
2297,100150059,1
4298,422205637,5
76,318900011,3
1461,204900056,5
1854,223600010,5
679,422202253,5
2334,308500004,5
799,422216594,5
2588,365000019,5
325,422206648,4
709,422205164,5
1442,204900056,5
1495,422210784,5
903,422204795,5
144,253900006,5
366,422206648,5
270,422215804,5
677,100230057,5
308,204900004,5
2248,245500001,5
3029,343700002,5
2434,422205160,5
808,248100018,5
2277,422208238,5
1434,204900004,5
1018,308500018,5
23,100750038,5
354,205100137,5
4214,422209443,5
733,200400004,5
1509,422206035,5
3649,422206043,5
1410,422217029,5
2301,422216098,5
216,205100136,5
722,100230064,5
2291,422216098,3
3504,422211447,3
2878,358300002,5
4251,308100018,5
3508,377400001,5
2351,308500013,5
1777,100240016,5
4002,422205673,5
2443,422205160,5
3294,422205122,5
1491,422210784,5
3598,308500004,2
577,327500002,5
307,205100146,5
2247,365000012,2
138,422205805,5
3514,422210047,5
3434,204100023,5
4076,345800003,4
1508,422211549,5
4282,100230026,5
2679,422203776,1
2521,422206537,4
2331,422205164,5
1289,204900009,5
1806,100150059,5
3958,422213308,5
3361,201600074,5
256,422219399,5
3740,377400001,5
3592,422207736,5
18,100750038,5
4398,422207812,2
307,422211446,5
3610,225200015,5
3961,422204259,2
3116,256700012,5
767,100230056,5
367,205100136,4
1448,422210980,5
629,422212100,5
3154,422212100,3
2777,345800003,2
1185,422207865,2
1078,201600074,5
216,422206648,5
2348,204100054,5
2906,204100003,5
3050,422203645,5
761,422220469,5
1472,422210980,5
913,422204795,5
3275,422206103,5
1892,345800015,2
3671,100220010,5
3607,225200015,5
746,200400003,5
3527,422205819,5
2409,308500013,5
1097,422204657,5
1234,422208345,3
3675,100220037,5
2379,204100054,5
2900,204100003,5
2169,422205160,5
2369,422202253,5
2358,308500013,5
792,422216594,4
16,422211446,5
2547,204100070,5
2365,422206537,5
976,308500009,5
2264,245500010,3
2412,308500004,5
278,422208807,5
1324,249500028,5
2658,243300007,2
1458,204900004,5
2537,204100018,5
914,204900128,5
1296,422202569,5
2339,308500009,5
2084,422201374,5
685,204100019,5
217,204900159,5
1102,422201504,5
780,308500037,5
1245,422222535,5
4313,355500011,4
1140,422218631,4
1279,365000015,1
3602,225200013,5
1022,308500013,5
3938,422203146,2
677,200400003,5
3102,422202632,5
633,422207562,3
1639,100160022,5
2887,358300001,5
2182,204000071,4
3942,201600072,5
3360,201600019,5
2925,422209705,5
2229,100180148,5
402,422208972,5
1183,249500007,5
4048,422204777,5
420,422208972,3
2456,422205160,5
2367,308500018,5
413,422208975,5
1051,214000001,5
703,100230064,5
4221,422212360,5
1094,422201504,5
331,422211447,5
282,205100136,5
650,100220035,5
377,422208972,5
3611,422218746,5
1034,308500018,5
1452,204900128,5
1479,422210980,5
835,422204027,3
1201,422211447,3
2261,422214148,1
69,422220469,1
1440,204900004,5
346,422206648,5
1080,422204904,5
4039,365000012,4
1335,422211878,5
2251,100100001,5
360,422209719,3
519,422206537,5
223,422210980,5
329,422211447,5
262,422206648,4
672,308500013,5
3053,224100019,3
2268,223600035,3
2102,422211501,5
139,422204906,5
3934,201600072,2
776,253900004,5
1418,357100011,1
543,422209444,1
792,237800005,5
1854,223600034,5
17,422208972,5
1464,204900159,1
99,318900012,5
3582,422206823,5
1017,204900004,5
696,308500004,5
1426,422211195,5
1630,204100054,5
2244,206400010,3
2534,204100003,5
691,422205163,5
2331,422205160,5
2146,422209841,5
2352,308500013,5
2038,249500027,5
654,422205164,5
4203,422205809,5
2085,422205162,5
1469,100190059,4
828,422221873,5
2505,204100054,5
837,422214321,5
4132,422207812,5
176,422206537,5
2549,204100078,5
628,308100018,5
3537,237800005,5
2311,308500015,4
4075,223600039,5
1328,253900003,5
4287,248700001,5
701,200400003,5
806,243300007,5
3274,422206101,5
1449,204900128,5
3220,335100011,5
2436,422202253,5
683,200400003,5
1000,422200306,5
2393,204100019,5
718,200400004,5
1346,253900003,5
1083,224100009,5
3663,207300009,5
732,100230059,5
2107,422211501,5
695,422202253,5
2466,223600035,1
3477,343100024,5
1309,253900003,5
2331,308500037,5
420,422208973,3
2452,422205162,5
215,422204259,5
1729,422206042,5
62,422203300,5
690,422205160,5
162,422211276,3
3217,201600198,5
572,253900006,5
4039,365000017,4
679,100230057,5
1024,422200236,5
699,422206537,5
3342,365000014,5
1828,422202580,5
762,422216594,4
4073,223600040,2
3506,386000015,4
1864,249500019,5
2466,308500037,5
1692,318900005,5
680,422205164,5
681,200400004,5
3459,422201448,5
1124,422210280,5
2431,422205163,5
1814,249500011,5
2613,422202362,2
2030,422218283,3
502,422216416,5
2257,245500002,5
1225,249500013,5
2747,248700035,5
244,249500027,3
792,308500004,4
1402,422207826,4
690,100230057,5
792,204900005,5
417,422208973,4
1311,422211878,5
3292,100230070,5
2323,308500018,5
256,422219400,5
2594,207500001,5
731,100230059,5
3643,422221911,5
3499,422210047,5
256,422211389,5
1789,100220035,5
2193,422214342,3
1058,422211183,4
4236,345800007,5
1443,204900056,5
791,200400003,5
375,422208976,5
3102,100160021,5
3291,207500002,4
61,365000013,5
2405,308500013,5
2451,308500015,5
3679,100220037,5
1189,204900128,5
632,224100001,5
2691,422203807,4
112,205100146,2
189,205100136,5
1952,422203173,5
1204,253900003,5
409,422208975,5
3123,422202253,2
3389,204100024,5
680,100230059,5
300,422200152,5
1090,422204906,5
2016,249500027,5
1440,204900159,5
2241,206400010,5
2381,308500013,5
2397,422205164,5
2084,422202025,5
792,308500018,4
139,422208807,5
1216,249500013,5
2432,308500037,5
2809,100180113,2
201,205100136,4
808,100230064,5
301,249500007,5
4212,422209443,5
266,422203776,5
1535,211300007,5
787,200400003,5
728,100230056,5
3826,345800013,4
2973,318900009,5
74,318900011,5
1573,422214146,5
2360,308500015,5
1835,304900016,5
1109,365000012,5
4176,248700053,4
298,422203807,5
2317,308500015,5
3123,223600035,5
2052,249500027,1
348,422211446,5
1229,422222535,5
2734,248700027,5
1288,204900024,5
4197,308500018,1
2127,422203609,5
3582,422207736,5
1949,422206823,5
262,422211446,4
1468,422210784,5
88,253900003,5
156,205100136,5
342,422211447,5
4419,248700034,5
552,253900004,5
3686,256700012,4
1991,249500027,5
470,204100023,5
529,204900004,5
1109,100220035,5
2747,248700042,5
734,225200013,5
255,205100136,5
111,205100137,4
220,205100137,5
1472,422209444,2
2209,422211447,1
2782,418800002,5
3467,343100029,5
1298,253900003,5
2449,308500015,5
975,422207810,2
23,422202045,5
2713,422211276,5
232,422206648,5
3793,204100018,5
1108,422210711,5
1412,422209262,3
3985,331300023,5
4295,248700058,5
4317,223600032,4
647,100230064,5
1083,422201822,5
2013,422207413,5
2404,422206537,5
2345,308500037,5
4355,422205122,5
704,213300093,5
3240,422209635,4
2363,422202253,5
308,201600019,4
193,422204259,5
